"","mz","VIP"
"896.38695","896.38695",0.160301461492844
"670.17634","670.17634",0.160078180295623
"417.26639","417.26639",0.160024309622884
"807.51206","807.51206",0.159900373631168
"879.53641","879.53641",0.158420403392383
"947.77786","947.77786",0.158273660233
"212.93761","212.93761",0.157155925137033
"275.94608","275.94608",0.157054080861734
"299.09585","299.09585",0.157033276699745
"220.99510","220.99510",0.156736807961964
"228.06120","228.06120",0.156193036501845
"334.06272","334.06272",0.155398142765253
"947.61492","947.61492",0.155171420247822
"949.53780","949.53780",0.154282083933326
"349.06316","349.06316",0.154251754650166
"540.05928","540.05928",0.153743964720177
"431.23646","431.23646",0.153548471164504
"880.56876","880.56876",0.153447376953692
"421.23898","421.23898",0.153264238391669
"351.06367","351.06367",0.152924745744099
"363.06209","363.06209",0.152478240290792
"645.49404","645.49404",0.152455343382235
"144.04285","144.04285",0.15238225455481
"689.06627","689.06627",0.151210117289729
"488.17311","488.17311",0.15072085839139
"663.52654","663.52654",0.15011269471265
"853.58378","853.58378",0.149967973472747
"811.37495","811.37495",0.149675526761588
"730.29718","730.29718",0.149572030727225
"173.09168","173.09168",0.149144602903351
"802.54829","802.54829",0.149047595311161
"908.58397","908.58397",0.148057528699957
"205.16185","205.16185",0.148022048457012
"733.55315","733.55315",0.147983166049598
"377.16793","377.16793",0.147749539682055
"401.25893","401.25893",0.1456268107219
"428.29373","428.29373",0.145410849431072
"195.10337","195.10337",0.14382850088904
"119.08730","119.08730",0.143784468574909
"998.59900","998.59900",0.142793956871718
"189.16521","189.16521",0.142618266024386
"791.17308","791.17308",0.142596477667332
"852.55975","852.55975",0.141812945627498
"369.17296","369.17296",0.141513139166748
"557.46220","557.46220",0.141438586372349
"285.16856","285.16856",0.141295774204334
"625.51639","625.51639",0.140986987461551
"275.05270","275.05270",0.140623464504413
"709.54177","709.54177",0.140596260157768
"156.99307","156.99307",0.140022718083041
"476.28757","476.28757",0.139220866707735
"848.49220","848.49220",0.138648119166917
"463.18136","463.18136",0.138505406728369
"452.29078","452.29078",0.138213458789158
"297.21672","297.21672",0.138144486261551
"874.61037","874.61037",0.137967894494721
"216.93054","216.93054",0.137904725528809
"99.04699","99.04699",0.137475917068934
"334.21827","334.21827",0.137148466600471
"479.31806","479.31806",0.137062841862568
"807.27908","807.27908",0.136974220551969
"225.15257","225.15257",0.136166952392483
"153.09256","153.09256",0.136106782335455
"225.98849","225.98849",0.136081922420126
"739.29325","739.29325",0.135705796775656
"461.24762","461.24762",0.135478702910933
"901.32998","901.32998",0.135342288722611
"490.11396","490.11396",0.134847475984369
"146.02619","146.02619",0.134792618258581
"748.16288","748.16288",0.134588437963063
"250.08959","250.08959",0.133919560596181
"255.00374","255.00374",0.133027027641978
"193.03335","193.03335",0.132877793173257
"806.52693","806.52693",0.132653524714114
"717.47152","717.47152",0.132637234914479
"737.33839","737.33839",0.132151855905578
"227.16572","227.16572",0.131851840645369
"427.02872","427.02872",0.131850251688477
"761.50432","761.50432",0.131589242290389
"733.47411","733.47411",0.131064835420447
"178.97482","178.97482",0.130966055366987
"250.14840","250.14840",0.130647662430529
"168.04541","168.04541",0.13021903783073
"510.25561","510.25561",0.129590300968739
"427.23371","427.23371",0.128998504209305
"217.14460","217.14460",0.128602143208182
"250.04771","250.04771",0.128181241517639
"223.13642","223.13642",0.127255110852299
"309.17739","309.17739",0.12683120935069
"633.51323","633.51323",0.126521487913623
"956.58669","956.58669",0.125837614481641
"289.07380","289.07380",0.125539537529153
"883.33671","883.33671",0.125032136326494
"277.15059","277.15059",0.124561277067627
"854.60637","854.60637",0.123557042372643
"455.32357","455.32357",0.123495677135927
"325.03662","325.03662",0.123478094344092
"477.23827","477.23827",0.123153569002829
"929.56068","929.56068",0.123049148415725
"426.28722","426.28722",0.122987827493584
"359.29803","359.29803",0.122601352160973
"232.98471","232.98471",0.122318491042479
"493.30892","493.30892",0.121472310451888
"830.51679","830.51679",0.121360649162193
"83.01472","83.01472",0.121144263539844
"339.25976","339.25976",0.12107851092343
"74.02522","74.02522",0.120717232360743
"295.26839","295.26839",0.120501856940822
"419.20288","419.20288",0.120485033327971
"755.52728","755.52728",0.12003688793667
"194.94913","194.94913",0.119847788235156
"415.16502","415.16502",0.119670618428962
"491.03417","491.03417",0.119607504961263
"640.31075","640.31075",0.119477758749748
"957.59526","957.59526",0.11897870002493
"279.15836","279.15836",0.118614033423547
