"","PC1","PC2","var"
"274.03582",0.0134334800410857,-0.00185449336713795,"274.03582"
"274.10432",-0.0018469439478295,-0.0363145411984334,"274.10432"
"275.05270",0.0101286317857377,-0.0166763118278639,"275.05270"
"275.94608",0.00496100853320753,-0.0299667536194541,"275.94608"
"276.08043",0.00653426576923088,-0.0298787701799192,"276.08043"
"277.03708",0.0251926844655212,-0.130891081116871,"277.03708"
"277.07741",0.0130134292909142,-0.0598596328761809,"277.07741"
"277.15059",0.0245632518530506,-0.0163210150241128,"277.15059"
"277.22185",0.104624612727916,0.0631328384970712,"277.22185"
"278.04222",0.00884530445423803,-0.034181087721094,"278.04222"
"278.12838",-0.0015690394414094,-0.0213557461855628,"278.12838"
"279.09167",0.00715190187586396,-0.0258945904532161,"279.09167"
"279.15836",0.0240950398813994,-0.00729893492199222,"279.15836"
"279.23647",0.115013733505239,0.0714874670760755,"279.23647"
"280.04406",0.0125804306690009,-0.0452643235773179,"280.04406"
"280.99546",0.0186547410093117,-0.0522315041513474,"280.99546"
"281.09727",0.00575375864482822,-0.0121089512876794,"281.09727"
"281.14260",0.0141495498493533,0.00158944830976757,"281.14260"
"281.18423",0.0188580178395652,0.00850885853110253,"281.18423"
"281.25299",0.0871697626215146,0.0533404591875147,"281.25299"
"281.98153",0.0155628256293489,-0.0339154133843353,"281.98153"
"282.04056",0.0141721712710388,-0.0248256305887578,"282.04056"
"282.09229",0.00889623859458076,-0.0195490864729225,"282.09229"
"282.99082",0.0179150610216043,-0.0324855972279841,"282.99082"
"283.02361",0.0118486415294777,-0.0120010432826703,"283.02361"
"283.07075",0.0191935245354545,-0.0398462572697367,"283.07075"
"283.10835",0.00410734597027446,-0.0227243095944924,"283.10835"
"283.19237",0.0326835674316038,-0.0102035066977591,"283.19237"
"283.26652",0.066753351434454,0.00230469976631247,"283.26652"
"284.07260",0.0116719927229931,-0.0222088596306668,"284.07260"
"284.09957",0.0172219575567148,-0.0355077200596104,"284.09957"
"285.07064",0.00695292240364188,-0.0270208692020272,"285.07064"
"285.16856",0.0211947490313188,0.00195302606670544,"285.16856"
"285.21264",0.0474978132504735,-0.0103289375426719,"285.21264"
"285.95217",0.0217691295037046,-0.0279021737749796,"285.95217"
"286.06269",0.00225005774516777,-0.0843284584507835,"286.06269"
"287.06994",0.0051268854236578,-0.0241265885808495,"287.06994"
"287.22048",0.033089928557085,0.00828828800146563,"287.22048"
"287.98689",0.00296592661099106,-0.0180888039784309,"287.98689"
"288.12116",0.0183472232028018,-0.0188484344229871,"288.12116"
"289.03939",0.00737127927330636,-0.0420504562078127,"289.03939"
"289.07380",0.012555336240379,-0.0162914883187288,"289.07380"
"289.13158",0.0288033279928716,-0.00269027260219482,"289.13158"
"289.18120",0.0329495443759782,0.00461908428477095,"289.18120"
"289.22095",0.0270363520163131,0.00795594743022409,"289.22095"
"290.08485",0.00801379619532703,-0.023218952048759,"290.08485"
"290.96666",0.00153834177243,-0.0286031105111266,"290.96666"
"291.10087",0.00194180294074747,-0.00971926787851353,"291.10087"
"291.23695",0.0272265475551841,0.00302710634361273,"291.23695"
"292.07548",0.0165244418604156,-0.0428568836537597,"292.07548"
"292.13940",0.00836641431584531,-0.0150564471194112,"292.13940"
"292.17043",0.0131031986069636,0.0307314157107375,"292.17043"
"292.20395",0.024260460949643,0.0152905577528155,"292.20395"
"293.06571",0.00587574775036571,-0.0226248933992855,"293.06571"
"293.14029",0.00932797143584461,-0.0135036986516328,"293.14029"
"293.25125",0.032636412758627,0.0189005702154286,"293.25125"
"294.06970",0.0026601125352738,-0.0341729447889166,"294.06970"
"295.08009",0.0137958337877369,-0.0176587235647531,"295.08009"
"295.23102",0.0924919632503189,0.0614609498709855,"295.23102"
"295.26839",0.0328464441965842,0.0115482514220923,"295.26839"
"297.05406",0.00550473105988848,0.00819550774870815,"297.05406"
"297.08925",0.00816440204762089,-0.023818687204466,"297.08925"
"297.21672",0.0435712906785728,-0.00243038927180265,"297.21672"
"297.24896",0.080720874419016,0.0354725613485774,"297.24896"
"298.11782",0.0141529223525654,-0.0458139956967914,"298.11782"
"298.99916",0.0151488721155158,-0.0355047784636566,"298.99916"
"299.09585",0.00937347803125346,-0.0347459467409468,"299.09585"
"299.13347",-6.15070655264623e-05,-0.00218543681971441,"299.13347"
"299.20268",0.0303762448223232,-0.00284689362144169,"299.20268"
"300.04614",0.00220629599462295,-0.0270640232011862,"300.04614"
"301.05539",0.00742959396325891,-0.0101736502843229,"301.05539"
"301.09460",0.00929402241884575,-0.0142462881773092,"301.09460"
